TeamId,TeamName,SubmissionDate,Score
1278904,"UCL COMPGI09","2018-01-19 20:28:16",0.9785
1265402,"Just Joshin' Around","2018-01-19 20:30:53",0.6330
1275579,"Mark Switajski","2018-01-19 20:39:23",0.9772
1261643,"Wik Hung Pun","2018-01-19 21:07:53",0.7282
1205757,Mk196,"2018-01-19 21:12:36",0.9662
1235671,yag2,"2018-01-19 21:14:46",0.9761
1208659,"Cellular Automata","2018-01-19 21:18:15",0.9575
1208534,thousandvoices,"2018-01-19 21:20:16",0.9770
1204256,*#!*##,"2018-01-19 21:25:00",0.9711
1225192,BenMcMillan,"2018-01-19 21:28:33",0.9762
1271708,cergey,"2018-01-19 21:29:50",0.7958
1228919,matteoTosi,"2018-01-19 21:32:57",0.9708
1212717,Abhishek,"2018-01-19 21:36:40",0.9600
1272543,austinalleman,"2018-01-19 21:40:27",0.7982
1216798,Edmon,"2018-01-19 21:42:40",0.9732
1261643,"Wik Hung Pun","2018-01-19 21:46:30",0.8861
1216798,Edmon,"2018-01-19 21:46:52",0.9732
1204210,"Alexander Kireev","2018-01-19 21:52:52",0.9774
1216139,quoniammm,"2018-01-19 21:53:16",0.9732
1204933,"Frank Schilder","2018-01-19 21:57:15",0.5000
1237024,"Paul Thompson","2018-01-19 22:01:21",0.9523
1203979,Sterby,"2018-01-19 22:07:40",0.9739
1260115,"Michael Icaza","2018-01-19 22:08:17",0.9356
1223108,simplify,"2018-01-19 22:15:55",0.4946
1251075,schmidg,"2018-01-19 22:17:59",0.9565
1207921,Dsaf,"2018-01-19 22:19:59",0.9733
1205227,Stanwar,"2018-01-19 22:21:35",0.9765
1205065,Toxicologist,"2018-01-19 22:22:08",0.9731
1236857,Alexander,"2018-01-19 22:23:55",0.9853
1204210,"Alexander Kireev","2018-01-19 22:25:32",0.9792
1207921,Dsaf,"2018-01-19 22:28:24",0.9772
1216798,Edmon,"2018-01-19 22:30:18",0.9736
1252173,Add_Violence,"2018-01-19 22:31:13",0.9771
1204933,"Frank Schilder","2018-01-19 22:37:48",0.9687
1241048,"William Smith","2018-01-19 22:40:42",0.9728
1223085,SkyLake,"2018-01-19 22:48:54",0.9836
1228808,Kermit,"2018-01-19 22:49:49",0.9772
1219625,"Anton Petrov","2018-01-19 23:00:28",0.9744
1275579,"Mark Switajski","2018-01-19 23:01:04",0.9773
1204139,"Bojan Tunguz","2018-01-19 23:04:34",0.9747
1237024,"Paul Thompson","2018-01-19 23:06:18",0.9541
1208608,anokas,"2018-01-19 23:12:28",0.9832
1204139,"Bojan Tunguz","2018-01-19 23:14:44",0.9798
1203843,"Vladimir Demidov","2018-01-19 23:17:31",0.9724
1204139,"Bojan Tunguz","2018-01-19 23:17:33",0.9802
1204256,*#!*##,"2018-01-19 23:17:38",0.9751
1203843,"Vladimir Demidov","2018-01-19 23:19:34",0.9733
1203843,"Vladimir Demidov","2018-01-19 23:21:13",0.9739
1254322,"Paul Hendi","2018-01-19 23:22:20",0.9770
1207446,Matt,"2018-01-19 23:23:34",0.9743
1264644,Adsurbum,"2018-01-19 23:24:14",0.5439
1204139,"Bojan Tunguz","2018-01-19 23:24:43",0.9803
1204979,Tihh,"2018-01-19 23:27:32",0.9799
1204256,*#!*##,"2018-01-19 23:28:55",0.9808
1255626,Sylas,"2018-01-19 23:29:22",0.9769
1204881,"Leandro dos Santos Coelho","2018-01-19 23:29:56",0.9742
1271862,"Linear Transgressions","2018-01-19 23:30:37",0.9597
1252954,"Jack McKeown","2018-01-19 23:32:25",0.9063
1223085,SkyLake,"2018-01-19 23:32:57",0.9844
1241048,"William Smith","2018-01-19 23:35:00",0.9743
1237654,MengYe,"2018-01-19 23:38:19",0.9746
1279325,"Randy Sinnott","2018-01-19 23:46:06",0.5000
1207446,Matt,"2018-01-19 23:47:23",0.9768
1204888,gavrand,"2018-01-19 23:47:48",0.9770
1241048,"William Smith","2018-01-19 23:49:53",0.9746
1215869,"Paul T","2018-01-19 23:52:42",0.9766
1251378,Anatolii,"2018-01-19 23:52:54",0.9746
1212717,Abhishek,"2018-01-19 23:53:09",0.9709
1262743,"Weighted average or stacking","2018-01-20 00:00:49",0.5000
1227416,TetyanaYatsenko,"2018-01-20 00:02:27",0.9747
1204210,"Alexander Kireev","2018-01-20 00:06:34",0.9796
1278904,"UCL COMPGI09","2018-01-20 00:06:35",0.9785
1212717,Abhishek,"2018-01-20 00:06:59",0.9792
1204933,"Frank Schilder","2018-01-20 00:07:40",0.9798
1212717,Abhishek,"2018-01-20 00:08:42",0.9795
1264644,Adsurbum,"2018-01-20 00:09:09",0.5731
1259102,shiyandu,"2018-01-20 00:10:34",0.8600
1204888,gavrand,"2018-01-20 00:11:05",0.9772
1222558,"David Solis","2018-01-20 00:13:43",0.9759
1205227,Stanwar,"2018-01-20 00:18:48",0.9770
1279271,RDizzl3,"2018-01-20 00:19:43",0.9778
1222558,"David Solis","2018-01-20 00:20:12",0.9765
1204888,gavrand,"2018-01-20 00:24:32",0.9792
1251592,"Daniel Weng","2018-01-20 00:29:20",0.9779
1208659,"Cellular Automata","2018-01-20 00:30:50",0.9669
1272093,"YaGana Sheriff-Hussaini","2018-01-20 00:31:32",0.9771
1272119,C2D,"2018-01-20 00:33:41",0.9777
1211715,"Joshua Ma","2018-01-20 00:36:21",0.9818
1208534,thousandvoices,"2018-01-20 00:37:35",0.9862
1208659,"Cellular Automata","2018-01-20 00:37:42",0.9686
1265125,DonDMateo,"2018-01-20 00:40:51",0.9700
1271967,"Fahim Mohammad","2018-01-20 00:41:48",0.9745
1217181,Bo1Yuan,"2018-01-20 00:43:04",0.9635
1204210,"Alexander Kireev","2018-01-20 00:52:53",0.9824
1216875,DmitriyVlasenko,"2018-01-20 01:01:10",0.9767
1204233,"Pavel Pleskov","2018-01-20 01:02:28",0.9747
1205083,"Ghosti Phate","2018-01-20 01:04:05",0.9829
1204210,"Alexander Kireev","2018-01-20 01:04:06",0.9834
1204233,"Pavel Pleskov","2018-01-20 01:06:21",0.9797
1204933,"Frank Schilder","2018-01-20 01:06:42",0.9798
1222558,"David Solis","2018-01-20 01:06:58",0.9776
1272093,"YaGana Sheriff-Hussaini","2018-01-20 01:09:06",0.9777
1217181,Bo1Yuan,"2018-01-20 01:12:35",0.9755
1272093,"YaGana Sheriff-Hussaini","2018-01-20 01:18:04",0.9783
1271967,"Fahim Mohammad","2018-01-20 01:20:44",0.9804
1225192,BenMcMillan,"2018-01-20 01:22:05",0.9797
1225192,BenMcMillan,"2018-01-20 01:27:08",0.9825
1252473,NikitaButakov,"2018-01-20 01:36:10",0.9768
1210426,HeraldoEspozel,"2018-01-20 01:39:26",0.9836
1205160,toxic_craker,"2018-01-20 01:41:42",0.9699
1204633,"Healthy Pizza","2018-01-20 01:42:48",0.9736
1217181,Bo1Yuan,"2018-01-20 01:44:31",0.9819
1253187,zmadmani,"2018-01-20 02:00:03",0.9568
1236958,"Bo Peng","2018-01-20 02:03:34",0.9747
1272543,austinalleman,"2018-01-20 02:13:44",0.9739
